security,date,open,high,low,close,volume
BBB,2024-01-29,50.87,51.22,50.62,51.10,2264099
ZZZ,2024-01-29,10.73,10.81,10.66,10.73,1752190
AAA,2024-01-30,104.35,104.59,104.09,104.33,1660805
BBB,2024-01-30,51.64,51.83,51.62,51.79,2881862
ZZZ,2024-01-30,10.51,10.53,10.28,10.42,1718270
AAA,2024-01-31,104.04,104.27,103.78,104.05,2021073
BBB,2024-01-31,52.72,53.16,52.71,52.77,1064794
ZZZ,2024-01-31,10.20,10.37,10.15,10.22,1182826
AAA,2024-02-01,102.97,103.41,102.87,103.14,1919598
BBB,2024-02-01,52.92,53.10,52.81,52.96,512219
ZZZ,2024-02-01,10.54,10.56,10.53,10.54,1907910
AAA,2024-02-02,103.58,103.77,102.81,103.33,2522737
BBB,2024-02-02,54.03,54.17,54.02,54.03,1294923
ZZZ,2024-02-02,10.57,10.63,10.47,10.49,556209
AAA,2024-02-05,103.25,104.04,103.24,103.31,437856
BBB,2024-02-05,52.97,53.39,52.95,53.12,1566498
ZZZ,2024-02-05,10.25,10.28,10.16,10.20,2318889
AAA,2024-02-06,102.69,102.96,102.66,102.95,2024485
BBB,2024-02-06,53.59,53.63,53.18,53.59,2364722
ZZZ,2024-02-06,9.92,9.94,9.90,9.90,2904595
AAA,2024-02-07,102.57,102.88,102.51,102.76,1109578
BBB,2024-02-07,54.52,54.68,54.20,54.38,1222395
ZZZ,2024-02-07,9.85,9.97,9.79,9.86,1212944
AAA,2024-02-08,103.73,104.08,103.57,103.98,1631805
BBB,2024-02-08,54.67,54.72,54.33,54.50,731595
ZZZ,2024-02-08,9.64,9.77,9.58,9.68,1380617
AAA,2024-02-09,104.96,105.20,104.93,105.15,2739528
BBB,2024-02-09,53.99,54.00,53.73,53.87,1073651
ZZZ,2024-02-09,9.56,9.67,9.51,9.65,978598
AAA,2024-02-12,105.71,105.82,105.54,105.55,2524303
BBB,2024-02-12,53.70,54.06,53.70,53.86,1850670
ZZZ,2024-02-12,9.36,9.43,9.35,9.41,1531609
AAA,2024-02-13,105.51,105.83,105.45,105.83,2231975
BBB,2024-02-13,53.92,54.11,53.90,54.05,2051197
ZZZ,2024-02-13,9.36,9.37,9.29,9.33,1539920
AAA,2024-02-14,107.05,107.57,106.91,107.35,2936546
BBB,2024-02-14,54.84,54.89,54.13,54.17,2985766
ZZZ,2024-02-14,9.50,9.56,9.48,9.52,2090604
AAA,2024-02-15,107.95,108.28,107.73,107.83,1897200
BBB,2024-02-15,54.46,54.56,54.28,54.29,2480539
ZZZ,2024-02-15,9.75,9.79,9.71,9.72,896090
AAA,2024-02-16,109.11,109.82,109.06,109.57,1176375
BBB,2024-02-16,55.24,55.38,55.14,55.33,1768094
AAA,2024-02-19,111.90,112.21,111.76,112.04,2842150
BBB,2024-02-19,55.54,55.57,55.46,55.57,1026250
AAA,2024-02-20,114.06,114.40,113.95,114.38,422049
BBB,2024-02-20,55.76,55.93,55.70,55.80,965119
AAA,2024-02-21,114.54,114.77,114.24,114.69,845944
BBB,2024-02-21,54.86,55.00,54.83,54.96,2757063
AAA,2024-02-22,112.11,112.57,111.00,111.82,1723072
BBB,2024-02-22,56.14,56.43,55.92,56.01,1729903
AAA,2024-02-23,111.08,111.32,110.89,111.06,904708
BBB,2024-02-23,55.60,55.86,55.54,55.82,643846
AAA,2024-02-26,112.76,113.36,112.50,112.87,1699480
BBB,2024-02-26,56.25,56.40,56.08,56.32,2795771
AAA,2024-02-27,111.88,112.52,111.72,111.78,1252126
BBB,2024-02-27,55.60,55.98,55.59,55.84,2181808
AAA,2024-02-28,111.90,112.41,111.64,111.70,953877
BBB,2024-02-28,55.92,55.97,55.66,55.79,2148687
AAA,2024-02-29,111.25,111.37,110.35,110.69,2186486
BBB,2024-02-29,56.48,56.70,56.42,56.67,1930737
